ID,Group,Longitude,Latitude
R1,RMSP,92.049444,21.684167
R2,RMSP,92.053850,21.694183
R3,RMSP,92.046400,21.684517
R4,RMSP,92.049817,21.687750
R5,RMSP,92.050217,21.680333
R11,RMSP,92.050833,21.685083
R12,RMSP,92.047967,21.687483
R13,RMSP,92.051333,21.681483
R14,RMSP,92.038073,21.688113
R15,RMSP,92.049050,21.684499
P1,PMSP,91.998933,21.648417
P2,PMSP,91.985617,21.648783
P3,PMSP,91.997717,21.650633
P4,PMSP,91.986633,21.653217
P5,PMSP,91.962617,21.672817
P6,PMSP,91.985875,21.648760
P7,PMSP,91.982721,21.652622
P8,PMSP,91.984599,21.655553
P9,PMSP,91.986912,21.651018
P10,PMSP,92.014457,21.617991
N1,PMWSP,92.013333,21.595278
N2,PMWSP,92.009722,21.601389
N3,PMWSP,91.969883,21.469167
N4,PMWSP,91.973417,21.511150
N5,PMWSP,92.015700,21.612200
N6,PMWSP,92.008450,21.607083
N7,PMWSP,92.003200,21.593867
N8,PMWSP,91.978167,21.527200
N9,PMWSP,92.004883,21.609133
N10,PMWSP,92.006717,21.609433
