NAME_0,continent,pond_area_km2
China,Asia,21715.89454791392
Vietnam,Asia,7062.896377558894
Indonesia,Asia,6276.250908634138
India,Asia,4747.493507493269
Bangladesh,Asia,3058.1216744225485
Thailand,Asia,1769.0001495021825
Myanmar,Asia,1522.1770596025628
Ecuador,SouthAmerica,1518.7933179219112
Philippines,Asia,1337.2337390447763
Egypt,Africa,1276.7249980462022
Mexico,NorthAmerica,942.1245899959664
Iraq,Asia,506.407042840729
United States,NorthAmerica,361.41885272808037
Brazil,SouthAmerica,356.19747984456353
Iran,Asia,310.4563443860037
Honduras,NorthAmerica,206.78753175351972
Pakistan,Asia,204.21539434417346
Cambodia,Asia,165.5823448862746
France,Europe,155.23801928002624
Nicaragua,NorthAmerica,144.45286727114083
Israel,Asia,141.41401087757077
Italy,Europe,140.22566907066792
Australia,Oceania,110.48635011712297
Spain,Europe,109.37808166574395
Saudi Arabia,Asia,105.9242291985611
Russia,Europe,100.10854281635908
North Korea,Asia,99.07204932660889
Jordan,Asia,96.89071104741795
Venezuela,SouthAmerica,81.51028467264054
Panama,NorthAmerica,77.99731894986016
Malaysia,Asia,47.04401822599905
Ghana,Africa,45.70326250207986
South Korea,Asia,44.89245682239331
United Arab Emirates,Asia,40.491592372430716
Peru,SouthAmerica,39.74761364774196
Kenya,Africa,39.53056960776125
Portugal,Europe,35.58592266568147
Tunisia,Africa,34.40723615887003
Sri Lanka,Asia,29.67329463523098
Colombia,SouthAmerica,28.711730893245335
Madagascar,Africa,22.47242755181171
Azerbaijan,Asia,21.022945565883724
Tanzania,Africa,20.759620248341697
Turkey,Asia,20.134727762056613
Namibia,Africa,17.75986552954402
Costa Rica,NorthAmerica,15.741778159430234
Guatemala,NorthAmerica,14.649687612572725
Greece,Europe,11.764885775012718
Mozambique,Africa,11.411027299551034
Albania,Europe,11.164696391659419
Angola,Africa,9.64986707343844
El Salvador,NorthAmerica,8.954145437188101
Yemen,Asia,6.87919691948119
South Africa,Africa,6.730303553235719
Belize,NorthAmerica,6.597861616731156
Slovenia,Europe,5.192679679354552
Benin,Africa,4.671212086624383
Lithuania,Europe,4.6333421059499384
New Zealand,Oceania,4.495635547142494
Montenegro,Europe,4.389803178152019
Romania,Europe,3.5260578957037607
Oman,Asia,3.265270288356502
Kazakhstan,Asia,2.5514539758066768
Suriname,SouthAmerica,2.4014663315694684
Ukraine,Europe,2.027812329371551
Moldova,Europe,1.2492637276283414
Croatia,Europe,1.217988125038936
Guinea,Africa,1.1773831740617464
Guyana,SouthAmerica,1.1316656091399593
Russia,Asia,1.1051360691875614
Qatar,Asia,1.0437687717231119
Syria,Asia,0.4217481873117501
New Caledonia,Oceania,0.32905115059294593
Bulgaria,Europe,0.19880149254122156
Nigeria,Africa,0.0464164834385523
Laos,Asia,0.0023337549305974233
Chile,SouthAmerica,0.0013629171189099428
Christmas Island,Asia,0.0006230560005444593
Panama,SouthAmerica,3.557981871309302e-05
