ID,Group,Longitude,Latitude,WorldCover,WC_label,in_pond,remnant_candidate
R1,RMSP,92.049444,21.684167,95,mangrove,False,False
R2,RMSP,92.05385,21.694183,10,trees,False,False
R3,RMSP,92.0464,21.684517,95,mangrove,False,False
R4,RMSP,92.049817,21.68775,95,mangrove,False,False
R5,RMSP,92.050217,21.680333,10,trees,False,False
R11,RMSP,92.050833,21.685083,95,mangrove,False,False
R12,RMSP,92.047967,21.687483,95,mangrove,False,False
R13,RMSP,92.051333,21.681483,95,mangrove,True,True
R14,RMSP,92.038073,21.688113,10,trees,False,False
R15,RMSP,92.04905,21.684499,95,mangrove,False,False
P1,PMSP,91.998933,21.648417,95,mangrove,True,True
P2,PMSP,91.985617,21.648783,95,mangrove,False,False
P3,PMSP,91.997717,21.650633,95,mangrove,True,True
P4,PMSP,91.986633,21.653217,95,mangrove,False,False
P5,PMSP,91.962617,21.672817,95,mangrove,True,True
P6,PMSP,91.985875,21.64876,95,mangrove,False,False
P7,PMSP,91.982721,21.652622,95,mangrove,False,False
P8,PMSP,91.984599,21.655553,95,mangrove,False,False
P9,PMSP,91.986912,21.651018,10,trees,False,False
P10,PMSP,92.014457,21.617991,95,mangrove,False,False
N1,PMWSP,92.013333,21.595278,95,mangrove,False,False
N2,PMWSP,92.009722,21.601389,95,mangrove,False,False
N3,PMWSP,91.969883,21.469167,95,mangrove,False,False
N4,PMWSP,91.973417,21.51115,95,mangrove,False,False
N5,PMWSP,92.0157,21.6122,95,mangrove,False,False
N6,PMWSP,92.00845,21.607083,95,mangrove,False,False
N7,PMWSP,92.0032,21.593867,95,mangrove,False,False
N8,PMWSP,91.978167,21.5272,95,mangrove,False,False
N9,PMWSP,92.004883,21.609133,10,trees,False,False
N10,PMWSP,92.006717,21.609433,30,grass,False,False
