country,sample_remnant_in_pond_ha,sample_mangrove_ha,sample_pond_ha,lat,lon
Cambodia,937.27,2580.37,17877.38,10.372,104.565
Indonesia,917.88,1464.73,38542.93,-7.052,112.448
Vietnam,871.38,12372.57,381930.88,9.196,105.105
Ghana,708.62,12802.34,3536.86,6.053,1.063
Thailand,408.79,1011.7,26595.58,13.55,100.441
Guatemala,246.06,4775.88,706.18,13.929,-91.097
Nicaragua,241.47,1910.38,3358.29,12.904,-87.397
Philippines,191.78,507.87,60494.38,14.858,120.658
Honduras,156.96,3860.21,7381.88,13.026,-87.207
Guinea,131.99,103235.59,139.54,9.249,-13.291
El Salvador,96.69,32207.03,876.37,13.292,-88.678
Brazil,64.49,234.2,13966.32,-5.036,-37.218
Malaysia,61.39,20289.94,1698.67,1.364,104.171
Colombia,34.01,1509.4,1816.74,10.136,-75.521
Peru,33.79,17802.22,3577.65,-3.518,-80.412
Sri Lanka,28.7,1806.97,3024.24,7.968,79.818
Costa Rica,24.77,12112.24,953.43,10.398,-85.115
Mexico,20.89,3404.49,3961.68,25.469,-108.713
Tanzania,13.45,6619.21,1044.77,-6.199,38.848
India,9.29,178.88,106490.22,16.579,81.037
Venezuela,4.41,272.46,3647.75,10.146,-71.979
Panama,4.26,1172.76,2848.52,8.141,-80.518
Bangladesh,1.74,102.09,101533.71,22.533,89.079
Kenya,1.58,6833.56,4629.63,-2.887,40.148
New Caledonia,1.4,10948.46,41.19,-20.951,164.67
Suriname,1.21,33146.06,282.45,5.93,-55.033
Ecuador,1.07,1146.56,15809.79,-2.323,-79.814
Benin,0.43,466.46,549.91,6.472,2.583
Mozambique,0.39,3044.04,441.86,-14.614,40.618
