mangrove_ha,pond_ha,remnant_mangrove_ha,pond_with_nearby_mangrove_ha,country,year,source_tif
3224862.7199999997,832020.48,231505.91999999998,276480.0,Indonesia,2022,scripts/outputs/agb_stability/shrimppond/_extracted/indonesia_landcover_change_maps_1999_2014_2018_2020_2022_2024/indonesia/Indonesia_Landcover_2022_v2exp.tif
191255.03999999998,851443.2,94579.2,136373.76,Vietnam,2022,scripts/outputs/agb_stability/shrimppond/_extracted/vietnam_landcover_change_maps_1999_2014_2018_2020_2022_2024/vietnam/Vietnam_Landcover_2022_v2exp.tif
151153.91999999998,193478.4,51292.799999999996,56632.32,Ecuador,2022,scripts/outputs/agb_stability/shrimppond/_extracted/ecuador_landcover_change_maps_1999_2014_2018_2020_2022_2024/ecuador/Ecuador_Landcover_2022_v1exp.tif
263203.2,261354.24,43908.479999999996,48804.479999999996,Thailand,2022,scripts/outputs/agb_stability/shrimppond/_extracted/thailand_landcover_change_maps_1999_2014_2018_2020_2022_2024/thailand/Thailand_Landcover_2022_v1exp.tif
261895.68,150312.96,28984.32,31380.48,Philippines,2022,scripts/outputs/agb_stability/shrimppond/_extracted/Philippines_Change_Persistence_Maps_1999_to_2022/Philippines_Landcover_2022_v1exp.tif
539228.16,125245.44,27371.52,28200.96,Mexico,2022,scripts/outputs/agb_stability/shrimppond/_extracted/mexico_landcover_change_maps_1999_2014_2018_2020_2022/Mexico_Landcover_2022_v1exp.tif
404305.92,476098.56,20275.2,20551.68,India,2022,scripts/outputs/agb_stability/shrimppond/_extracted/india_landcover_change_maps_1999_2014_2018_2020_2022/india_landcover_2022_v1exp.tif
1060208.64,25620.48,13178.88,10506.24,Brazil,2022,scripts/outputs/agb_stability/shrimppond/_extracted/brazil_landcover_change_maps_1999_2014_2018_2020_2022/brazil_landcover_2022_v1exp.tif
600837.12,17579.52,10460.16,8017.92,Malaysia,2022,scripts/outputs/agb_stability/shrimppond/_extracted/Malaysia_Landcover_Change_Maps_1999_2014_2018_2020_2022/malaysia_landcover_2022_v1exp.tif
18155.52,1116149.76,9492.48,12072.96,China,2022,scripts/outputs/agb_stability/shrimppond/_extracted/china_landcover_change_maps_1999_2014_2018_2020_2022/china_landcover_2022_v1exp.tif
46437.119999999995,24543.36,8265.6,8507.52,Honduras,2022,scripts/outputs/agb_stability/shrimppond/_extracted/honduras_landcover_change_maps_1999_2014_2018_2020_2022/honduras_landcover_2022_v1exp.tif
53562.24,20482.559999999998,7804.799999999999,8017.92,Nicaragua,2022,scripts/outputs/agb_stability/shrimppond/_extracted/nicaragua_landcover_change_maps_1999_2014_2018_2020_2022/Nicaragua_Landcover_2022_v1exp.tif
632517.12,15528.96,4492.8,4792.32,Myanmar,2022,scripts/outputs/agb_stability/shrimppond/_extracted/myanmar_landcover_change_maps_1999_2014_2018_2020_2022_2024/myanmar/Myanmar_Landcover_2022_v1exp.tif
15431.039999999999,5100.48,715.68,901.4399999999999,Sri Lanka,2022,scripts/outputs/agb_stability/shrimppond/_extracted/SriLanka_Landcover_Change_Maps_1999_2014_2018_2020_2022/sri_lanka_landcover_2022_v1exp.tif
451409.76,215978.4,616.3199999999999,681.12,Bangladesh,2022,scripts/outputs/agb_stability/shrimppond/_extracted/Bangladesh_Landcover_Change_Maps_1999_2014_2018_2020_2022/Bangladesh_Landcover_2022_v1exp.tif
33920.64,898.56,400.32,364.32,El Salvador,2022,scripts/outputs/agb_stability/shrimppond/_extracted/elsalvador_landcover_change_maps_1999_2014_2018_2020_2022/el_salvador_landcover_2022_v1exp.tif
46415.52,1867.6799999999998,260.64,223.2,Cambodia,2022,scripts/outputs/agb_stability/shrimppond/_extracted/Cambodia_Landcover_Change_Maps_1999_2014_2018_2020_2022/Cambodia_Landcover_2022_v1exp.tif
