mangrove_ha,pond_ha,n_mangrove_patches,n_remnant_patches,remnant_mangrove_ha,pond_with_nearby_mangrove_ha,max_patch_ha,min_pond_frac,high_pond_frac,max_enclosed_ha,country,year,source_tif,pixel_m
3217282.56,834854.4,19213,2749,97966.08,186370.56,50.0,0.3,0.55,200.0,Indonesia,2022,scripts/outputs/agb_stability/shrimppond/_extracted/indonesia_landcover_change_maps_1999_2014_2018_2020_2022_2024/indonesia/Indonesia_Landcover_2022_v2exp.tif,480.0
192009.6,849363.84,6840,4907,49570.56,99025.92,50.0,0.3,0.55,200.0,Vietnam,2022,scripts/outputs/agb_stability/shrimppond/_extracted/vietnam_landcover_change_maps_1999_2014_2018_2020_2022_2024/vietnam/Vietnam_Landcover_2022_v2exp.tif,240.0
263226.24,261344.16,8274,3971,20809.44,24521.76,50.0,0.3,0.55,200.0,Thailand,2022,scripts/outputs/agb_stability/shrimppond/_extracted/thailand_landcover_change_maps_1999_2014_2018_2020_2022_2024/thailand/Thailand_Landcover_2022_v1exp.tif,120.0
151117.56,193387.32,6013,4403,18897.12,11220.119999999999,50.0,0.3,0.55,200.0,Ecuador,2022,scripts/outputs/agb_stability/shrimppond/_extracted/ecuador_landcover_change_maps_1999_2014_2018_2020_2022_2024/ecuador/Ecuador_Landcover_2022_v1exp.tif,60.0
261659.52,151407.36,10654,1142,12309.119999999999,18714.239999999998,50.0,0.3,0.55,200.0,Philippines,2022,scripts/outputs/agb_stability/shrimppond/_extracted/Philippines_Change_Persistence_Maps_1999_to_2022/Philippines_Landcover_2022_v1exp.tif,240.0
403482.24,469509.12,5584,460,5005.44,7251.84,50.0,0.3,0.55,200.0,India,2022,scripts/outputs/agb_stability/shrimppond/_extracted/india_landcover_change_maps_1999_2014_2018_2020_2022/india_landcover_2022_v1exp.tif,240.0
18639.36,1123395.8399999999,1152,367,4008.96,5667.84,50.0,0.3,0.55,200.0,China,2022,scripts/outputs/agb_stability/shrimppond/_extracted/china_landcover_change_maps_1999_2014_2018_2020_2022/china_landcover_2022_v1exp.tif,240.0
539481.6,122895.36,3767,112,3502.08,6289.92,50.0,0.3,0.55,200.0,Mexico,2022,scripts/outputs/agb_stability/shrimppond/_extracted/mexico_landcover_change_maps_1999_2014_2018_2020_2022/Mexico_Landcover_2022_v1exp.tif,480.0
46328.4,24660.0,2405,488,2697.8399999999997,1300.68,50.0,0.3,0.55,200.0,Honduras,2022,scripts/outputs/agb_stability/shrimppond/_extracted/honduras_landcover_change_maps_1999_2014_2018_2020_2022/honduras_landcover_2022_v1exp.tif,60.0
53512.56,20984.76,2069,263,1928.8799999999999,773.28,50.0,0.3,0.55,200.0,Nicaragua,2022,scripts/outputs/agb_stability/shrimppond/_extracted/nicaragua_landcover_change_maps_1999_2014_2018_2020_2022/Nicaragua_Landcover_2022_v1exp.tif,60.0
603504.0,17775.36,5727,189,1895.04,2551.68,50.0,0.3,0.55,200.0,Malaysia,2022,scripts/outputs/agb_stability/shrimppond/_extracted/Malaysia_Landcover_Change_Maps_1999_2014_2018_2020_2022/malaysia_landcover_2022_v1exp.tif,240.0
1071037.44,25113.6,5177,43,1451.52,2165.7599999999998,50.0,0.3,0.55,200.0,Brazil,2022,scripts/outputs/agb_stability/shrimppond/_extracted/brazil_landcover_change_maps_1999_2014_2018_2020_2022/brazil_landcover_2022_v1exp.tif,480.0
636173.28,15622.56,38444,265,1228.32,1428.48,50.0,0.3,0.55,200.0,Myanmar,2022,scripts/outputs/agb_stability/shrimppond/_extracted/myanmar_landcover_change_maps_1999_2014_2018_2020_2022_2024/myanmar/Myanmar_Landcover_2022_v1exp.tif,120.0
15388.92,5115.96,2960,241,509.4,399.59999999999997,50.0,0.3,0.55,200.0,Sri Lanka,2022,scripts/outputs/agb_stability/shrimppond/_extracted/SriLanka_Landcover_Change_Maps_1999_2014_2018_2020_2022/sri_lanka_landcover_2022_v1exp.tif,60.0
451449.72,215840.52,1709,160,340.91999999999996,234.0,50.0,0.3,0.55,200.0,Bangladesh,2022,scripts/outputs/agb_stability/shrimppond/_extracted/Bangladesh_Landcover_Change_Maps_1999_2014_2018_2020_2022/Bangladesh_Landcover_2022_v1exp.tif,60.0
46335.509999999995,1844.46,3379,47,75.42,56.07,50.0,0.3,0.55,200.0,Cambodia,2022,scripts/outputs/agb_stability/shrimppond/_extracted/Cambodia_Landcover_Change_Maps_1999_2014_2018_2020_2022/Cambodia_Landcover_2022_v1exp.tif,30.0
33995.25,906.75,483,12,70.2,38.519999999999996,50.0,0.3,0.55,200.0,El Salvador,2022,scripts/outputs/agb_stability/shrimppond/_extracted/elsalvador_landcover_change_maps_1999_2014_2018_2020_2022/el_salvador_landcover_2022_v1exp.tif,30.0
