country,remnant_mangrove_ha_old_loose,remnant_mangrove_ha_new_patches,n_remnant_patches,reduction_pct
Bangladesh,616.3199999999999,340.92,160,44.684579439252325
Brazil,13178.88,1451.52,43,88.98601398601399
Cambodia,145.79999999999998,75.42,47,48.271604938271594
China,9216.0,4008.96,367,56.49999999999999
Ecuador,33985.44,18897.12,4403,44.39642388034406
El Salvador,226.44,70.2,12,68.99841017488075
Honduras,5424.48,2697.84,488,50.265463233342174
India,16220.16,5005.44,460,69.140625
Indonesia,222013.44,97966.08,2749,55.87380655873806
Malaysia,10460.16,1895.04,189,81.88325991189427
Mexico,27371.52,3502.08,112,87.20538720538721
Myanmar,3312.0,1228.32,265,62.913043478260875
Nicaragua,4613.76,1928.88,263,58.19288389513109
Philippines,28984.32,12309.12,1142,57.531796502384736
Sri Lanka,715.68,509.4,241,28.82293762575453
Thailand,43908.48,20809.44,3971,52.60724124360488
Vietnam,94579.2,49570.56,4907,47.588306942752745
