country,remnant_mangrove_ha,n_remnant_patches,remnant_ha_v2,n_patches_v2,reduction_pct
Indonesia,70341.12,2361,97966.08,2749,28.19849482596426
Vietnam,43597.439999999995,4748,49570.56,4907,12.049732744596797
Thailand,15580.8,3578,20809.44,3971,25.126288838142685
Ecuador,11070.359999999999,2896,18897.12,4403,41.41773984607179
Philippines,8421.119999999999,957,12309.12,1142,31.586335985025748
India,3231.3599999999997,380,5005.44,460,35.44303797468354
China,2269.44,287,4008.96,367,43.39080459770115
Mexico,2165.7599999999998,85,3502.08,112,38.15789473684211
Honduras,1146.6,292,2697.84,488,57.499332799573
Malaysia,1105.92,139,1895.04,189,41.64133738601823
Myanmar,931.68,233,1228.32,265,24.15005861664713
Nicaragua,760.3199999999999,120,1928.88,263,60.582306830907065
Brazil,760.3199999999999,30,1451.52,43,47.61904761904763
Sri Lanka,311.76,152,509.4,241,38.79858657243817
Bangladesh,165.6,71,340.92,160,51.425554382259776
El Salvador,44.91,6,70.2,12,36.02564102564103
Cambodia,22.32,24,75.42,47,70.4057279236277
